latitude,longitude,temperature_c,salinity_ppt,timestamp
25.91226334,-80.13732219,26.70000076,49.24,2021-12-16 14:24:04
25.91226667,-80.13732654,26.70000076,49.25,2021-12-16 14:24:05
25.91226981,-80.13733075,26.70000076,49.25,2021-12-16 14:24:06
25.9122737,-80.13733494,26.70000076,49.24,2021-12-16 14:24:07
25.91227751,-80.1373391,26.70000076,49.22,2021-12-16 14:24:08
25.91228078,-80.13734241,26.70000076,49.22,2021-12-16 14:24:09
25.91228473,-80.13734566,26.70000076,49.23,2021-12-16 14:24:10
25.91228874,-80.13734893,26.70000076,49.22,2021-12-16 14:24:11
25.91229239,-80.13735192,26.70000076,49.22,2021-12-16 14:24:12
25.91229619,-80.13735464,26.70000076,49.2,2021-12-16 14:24:13
25.9123003,-80.13735827,26.70000076,49.2,2021-12-16 14:24:14
25.91230459,-80.13736168,26.70000076,49.2,2021-12-16 14:24:15
25.91230939,-80.13736475,26.70000076,49.21,2021-12-16 14:24:16
25.9123141,-80.13736779,26.70000076,49.19,2021-12-16 14:24:17
25.91231882,-80.13737048,26.70000076,49.19,2021-12-16 14:24:18
25.9123232,-80.13737288,26.70000076,49.18,2021-12-16 14:24:19
25.9123277,-80.1373756,26.70000076,49.17,2021-12-16 14:24:20
25.91233143,-80.13737773,26.70000076,49.18,2021-12-16 14:24:21
25.91233656,-80.13738165,26.70000076,49.18,2021-12-16 14:24:22
25.91234028,-80.13738389,26.70000076,49.17,2021-12-16 14:24:23
25.91234365,-80.13738556,26.70000076,49.16,2021-12-16 14:24:24
25.91234903,-80.1373882,26.70000076,49.15,2021-12-16 14:24:25
25.91235329,-80.13739077,26.70000076,49.14,2021-12-16 14:24:26
25.91235726,-80.13739345,26.70000076,49.15,2021-12-16 14:24:27
25.91236134,-80.1373958,26.70000076,49.14,2021-12-16 14:24:28
25.91236621,-80.13739814,26.70000076,49.13,2021-12-16 14:24:29
25.91237083,-80.13740133,26.70000076,49.14,2021-12-16 14:24:30
25.912375,-80.13740433,26.70000076,49.14,2021-12-16 14:24:31
25.91237989,-80.13740646,26.70000076,49.13,2021-12-16 14:24:32
25.912384,-80.13740888,26.70000076,49.12,2021-12-16 14:24:33
25.9123875,-80.13741083,26.70000076,49.13,2021-12-16 14:24:34
25.912391,-80.13741333,26.70000076,49.12,2021-12-16 14:24:35
25.91239367,-80.1374165,26.70000076,49.1,2021-12-16 14:24:36
25.91239717,-80.13742,26.70000076,49.1,2021-12-16 14:24:37
25.91240089,-80.13742497,26.70000076,49.1,2021-12-16 14:24:38
25.91240283,-80.13742883,26.70000076,49.09,2021-12-16 14:24:39
25.91240567,-80.13743333,26.70000076,49.08,2021-12-16 14:24:40
25.91240823,-80.13743875,26.70000076,49.07,2021-12-16 14:24:41
25.91240967,-80.137443,26.70000076,49.1,2021-12-16 14:24:42
25.91241135,-80.13744877,26.70000076,49.09,2021-12-16 14:24:43
25.91241234,-80.13745411,26.70000076,49.06,2021-12-16 14:24:44
25.91241333,-80.13745867,26.70000076,49.05,2021-12-16 14:24:45
25.91241496,-80.13746479,26.70000076,49.05,2021-12-16 14:24:46
25.91241562,-80.13746946,26.70000076,49.03,2021-12-16 14:24:47
25.91241624,-80.13747473,26.70000076,49.03,2021-12-16 14:24:48
25.91241743,-80.13748023,26.70000076,49.03,2021-12-16 14:24:49
25.91241767,-80.137485,26.70000076,49.06,2021-12-16 14:24:50
25.91241817,-80.1374895,26.70000076,49.04,2021-12-16 14:24:51
